participant_code,main_sample,batch_id,rating_sensitivity_base_ge_50hz,note
P001,True,july,False,rating-only exploratory subset; main sample unchanged
P049,True,july,True,rating-only exploratory subset; main sample unchanged
P050,True,july,True,rating-only exploratory subset; main sample unchanged
P051,True,july,True,rating-only exploratory subset; main sample unchanged
P052,True,july,True,rating-only exploratory subset; main sample unchanged
P053,True,july,True,rating-only exploratory subset; main sample unchanged
P054,True,july,True,rating-only exploratory subset; main sample unchanged
P055,True,july,True,rating-only exploratory subset; main sample unchanged
P056,True,july,True,rating-only exploratory subset; main sample unchanged
P057,True,sep08,True,rating-only exploratory subset; main sample unchanged
P058,True,sep08,True,rating-only exploratory subset; main sample unchanged
P059,True,sep08,True,rating-only exploratory subset; main sample unchanged
P060,True,sep08,True,rating-only exploratory subset; main sample unchanged
P061,True,sep08,True,rating-only exploratory subset; main sample unchanged
P062,True,sep08,True,rating-only exploratory subset; main sample unchanged
P063,True,sep08,True,rating-only exploratory subset; main sample unchanged
P064,True,sep08,True,rating-only exploratory subset; main sample unchanged
P065,True,sep08,True,rating-only exploratory subset; main sample unchanged
P066,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P067,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P068,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P069,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P070,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P071,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P072,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P073,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P074,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P075,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P076,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P077,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P078,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P079,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P080,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P081,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P082,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P083,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P084,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P085,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P086,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P087,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P088,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P089,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P090,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P091,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P092,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P093,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P094,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P095,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P096,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P097,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P098,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P099,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P100,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P101,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P102,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P103,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P104,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P105,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
P106,True,sep10_12,True,rating-only exploratory subset; main sample unchanged
